PrescriptionID,ComponentID,LatinName,ChineseName,ComponentQuantity,Barcode
TCMFx6129,TCMH2454,Dendranthema indicum,野菊花膏粉,TCMH2454,ITSAB1463-14
TCMFx6129,TCMH2391,,盐酸可乐定,TCMH2391,
TCMFx6129,TCMH1690,,氢氯噻嗪,TCMH1690,
TCMFx6129,TCMH1335,,芦丁,TCMH1335,
TCMF6130,TCMH1312,,硫酸亚铁,TCMH1312,
TCMFx6132,TCMH2695,,猪胆,TCMH2695,
TCMF6133,TCMH1745,,肉桂油,TCMH1745,
TCMF6133,TCMH2009,Methyl salicylatum,水杨酸甲酯,TCMH2009,
TCMF6133,TCMH2385,,盐酸苯海拉明,TCMH2385,
TCMFx6134,TCMH1438,,满山红浸膏粉,TCMH1438,
TCMFx6135,TCMH647,,干酵母,TCMH647,
TCMFx6135,TCMH2070,,糖化素,TCMH2070,
TCMFx6136,TCMH1337,Calamina,炉甘石,TCMH1337,
TCMFx6136,TCMH1552,Sal ammoniaci,硇砂,TCMH1552,
TCMFx6136,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6136,TCMH1613,Sal sedatirum,硼砂,TCMH1613,
TCMFx6136,TCMH1955,,石蟹,TCMH1955,
TCMFx6138,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx6138,TCMH2329,Realgar,雄黄,TCMH2329,
TCMFx6138,TCMH2601,Haematitum,赭石,TCMH2601,
TCMFx6138,TCMH324,Magnetitum,磁石,TCMH324,
TCMFx6138,TCMH400,,胆膏,TCMH400,
TCMFx6138,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6138,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6140,TCMH2089,,田螺壳,TCMH2089,
TCMFx6140,TCMH651,,橄榄核,TCMH651,
TCMFx6143,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx6143,TCMH933,Talcum,滑石,TCMH933,
TCMFx6143,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6143,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6144,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6144,TCMH1613,Sal sedatirum,硼砂,TCMH1613,
TCMFx6146,TCMH2340,,玄精石,TCMH2340,
TCMFx6146,TCMH2610,Concha margaritifera usta;Margarita,珍珠母,TCMH2610,
TCMFx6146,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6146,TCMH2329,Realgar,雄黄,TCMH2329,
TCMF6147,TCMH1145,,荆芥油,TCMH1145,
TCMFx6148,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx6150,TCMH2394,,盐酸麻黄碱,TCMH2394,
TCMFx6150,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx6150,TCMH2061,,碳酸钙,TCMH2061,
TCMFx6151,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx6151,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6152,TCMH2610,Concha margaritifera usta;Margarita,珍珠母,TCMH2610,
TCMFx6159,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx6159,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6159,TCMH2329,Realgar,雄黄,TCMH2329,
TCMFx6159,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6159,TCMH1110,Lapis micae aureus,金礞石,TCMH1110,
TCMFx6161,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6161,TCMH351,Sojae semen germinatum,大豆黄卷,TCMH351,
TCMFx6161,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx6161,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6161,TCMH541,Colla corii asini,阿胶,TCMH541,
TCMFx6161,TCMH2329,Realgar,雄黄,TCMH2329,
TCMF6162,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMF6164,TCMH54,Alumen,白矾,TCMH54,
TCMF6164,TCMH1613,Sal sedatirum,硼砂,TCMH1613,
TCMFx6165,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx6165,TCMH1179,Citri exocarpium rubrum,橘红,TCMH1179,
TCMFx6165,TCMH933,Talcum,滑石,TCMH933,
TCMFx6165,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6166,TCMH2599,,蔗鸡,TCMH2599,
TCMFx6167,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx6170,TCMH834,Semen glycine max,黑豆,TCMH834,ITSAJ4675-14
TCMFx6170,TCMH2695,,猪胆,TCMH2695,
TCMF6171,TCMH136,Os pardi,豹骨,TCMH136,
TCMF6173,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx6174,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMF6177,TCMH1748,,鞣质,TCMH1748,
TCMF6177,TCMH541,Colla corii asini,阿胶,TCMH541,
TCMFx6179,TCMH1619,,脾水解物,TCMH1619,
TCMFx6179,TCMH1780,,三七总皂甙,TCMH1780,
TCMFx6181,TCMH702,Fructus setariae germinatus,谷芽,TCMH702,
TCMFx6181,TCMH436,Fructus oryzae germinatus,稻芽,TCMH436,
TCMFx6183,TCMH798,Rorippa montana,旱菜,TCMH798,
TCMFx6184,TCMH2280,,象牙屑,TCMH2280,
TCMFx6184,TCMH2329,Realgar,雄黄,TCMH2329,
TCMFx6184,TCMH293,Manis pentadactyla,穿山甲,TCMH293,GBMA15413-17
TCMFx6184,TCMH1142,Schizonepetae spica,荆芥穗,TCMH1142,
TCMFx6184,TCMH933,Talcum,滑石,TCMH933,
TCMF6185,TCMH876,Semen oryzae cum monasco fermentatum,红曲,TCMH876,
TCMF6186,TCMH436,Fructus oryzae germinatus,稻芽,TCMH436,
TCMF6187,TCMH680,,格列本脲,TCMH680,
TCMFx6188,TCMH2329,Realgar,雄黄,TCMH2329,
TCMFx6189,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6189,TCMH1613,Sal sedatirum,硼砂,TCMH1613,
